"company","postcode","city","country","Physical_Address","PIN_VAT","phone","email","salesman","Contact_Name","Contact_Designation","Contact_Telephone","Contact_email","Alt_Contact_Name","Alt_Contact_Designation","Alt_Contact_Telephone","Alt_Contact_email","createdby","Date_Created","Last_Activity","pkey"
"Classique Plumbing","","Nakuru              ","Kenya               ","Nakuru","0","0710432219     ","","Sr7       ","","","               ","","","","               ","","Rose                ","7/12/2022 2:03:40 PM","7/12/2022 2:03:40 PM","134"
"Jassa Hardware","","Nyeri               ","Kenya               ","Nyeri town","0","0723863886     ","","Sr7       ","","","               ","","","","               ","","Rose                ","7/25/2022 9:39:45 AM","7/25/2022 9:39:45 AM","135"
"Giakanja Hardware","","Nyeri               ","Kenya               ","Nyeri town","0","0722306572     ","","Sr7       ","","","               ","","","","               ","","Rose                ","7/25/2022 9:41:08 AM","7/25/2022 9:41:08 AM","136"
"Daima Hardware","","Nyeri               ","Kenya               ","Nyeri town","0","0722344854     ","","Sr7       ","","","               ","","","","               ","","Rose                ","7/25/2022 9:42:55 AM","7/25/2022 9:42:55 AM","137"
"Jema Hardware","","Nyeri               ","Kenya               ","Nyeri town","0","0729166844     ","","Sr7       ","","","               ","","","","               ","","Rose                ","7/25/2022 9:44:22 AM","7/25/2022 9:44:22 AM","138"
"Will time Hardware","","Nyeri               ","Kenya               ","Nyeri town","0","0722371835     ","","Sr7       ","","","               ","","","","               ","","Rose                ","7/25/2022 9:46:23 AM","7/25/2022 9:46:23 AM","139"
"G Motor Hardware","","Nyeri               ","Kenya               ","Nyeri town","0","0720701064     ","","Sr7       ","","","               ","","","","               ","","Rose                ","7/25/2022 10:25:52 AM","7/25/2022 10:25:52 AM","140"
"Green Price Hardware","","Nyeri               ","Kenya               ","Nyeri&nbsp; town","0","0722816783     ","","Sr7       ","","","               ","","","","               ","","Rose                ","7/25/2022 10:29:12 AM","7/25/2022 10:29:12 AM","141"
"Rose Hardware","","Nyeri               ","Kenya               ","Nyeri town","0","0706247963     ","","Sr7       ","","","               ","","","0717214000","               ","","Rose                ","7/25/2022 11:30:50 AM","7/25/2022 11:30:50 AM","142"
"Pam Complex Hardware","","Nyeri               ","Kenya               ","Nyeri town","0","0721659173     ","","Sr7       ","","","               ","","","","               ","","Rose                ","7/25/2022 11:32:28 AM","7/25/2022 11:32:28 AM","143"
"Sim Hardware","","Nyeri               ","Kenya               ","Nyeri town","0","0722986304     ","","Sr7       ","","","               ","","","","               ","","Rose                ","7/25/2022 11:52:02 AM","7/25/2022 11:52:02 AM","144"
"Kimigawa Hardware","","Nyeri               ","Kenya               ","Nyeri town","0","0722900238     ","","Sr7       ","","","               ","","","","               ","","Rose                ","7/25/2022 12:10:28 PM","7/25/2022 12:10:28 PM","145"
"Kimigawa Hardware","","Nyeri               ","Kenya               ","Nyeri town","0","0722900238     ","","Sr7       ","","","               ","","","","               ","","Rose                ","7/25/2022 12:10:33 PM","7/25/2022 12:10:33 PM","146"
"Gyram Hardware","","Nyeri               ","Kenya               ","Nyeri town","0","0738107001     ","","Sr7       ","","","               ","","","","               ","","Rose                ","7/25/2022 12:14:33 PM","7/25/2022 12:14:33 PM","147"
"Primechoice Gen Hardware","","Nyeri               ","Kenya               ","Nyeri town","0","0722466326     ","","Sr7       ","","","               ","","","","               ","","Rose                ","7/25/2022 12:16:25 PM","7/25/2022 12:16:25 PM","148"
"GMN Hardware","","Nyeri               ","Kenya               ","Nyeri town","0","0714667621     ","","Sr7       ","","","               ","","","","               ","","Rose                ","7/25/2022 12:17:37 PM","7/25/2022 12:17:37 PM","149"
"Hamcon Heads","","Nyeri               ","Kenya               ","Nyeri town","0","0790476464     ","","Sr7       ","","","               ","","","","               ","","Rose                ","7/25/2022 12:18:57 PM","7/25/2022 12:18:57 PM","150"
"Nyeri Choice","","Nyeri               ","Kenya               ","Nyeri town","0","0722441565     ","","Sr7       ","","","               ","","","0727426605","               ","","Rose                ","7/25/2022 12:44:44 PM","7/25/2022 12:44:44 PM","151"
"GG Githui Hardware","","Nanyuki             ","Kenya               ","Nanyuki town","0","0729438153     ","","Sr7       ","","","               ","","","","               ","","Rose                ","7/25/2022 1:06:56 PM","7/25/2022 1:06:56 PM","152"
"Bamboo Hardware","","Nanyuki             ","Kenya               ","Nanyuki","0","0722969239     ","","Sr7       ","","","               ","","","","               ","","Rose                ","7/25/2022 1:30:14 PM","7/25/2022 1:30:14 PM","153"
"Jaribu Hardware &amp;Glassmart","","Nanyuki             ","Kenya               ","Nanyuki","0","0722332654     ","","Sr7       ","","","               ","","","","               ","","Rose                ","7/25/2022 3:56:05 PM","7/25/2022 3:56:05 PM","154"
"Nanyuki Glory Hardware","","Nanyuki             ","Kenya               ","Nanyuki","0","0722494665     ","","Sr7       ","","","               ","","","","               ","","Rose                ","7/25/2022 4:02:13 PM","7/25/2022 4:02:13 PM","155"
"Blessed Popular Hardware","","Nanyuki             ","Kenya               ","Nanyuki","0","0721963836     ","","Sr7       ","","","               ","","","","               ","","Rose                ","7/25/2022 4:04:00 PM","7/25/2022 4:04:00 PM","156"
"Feb Glassmart Hardware","","Nanyuki             ","Kenya               ","Nanyuki","0","0720453867     ","","Sr7       ","","","               ","","","","               ","","Rose                ","7/25/2022 4:08:37 PM","7/25/2022 4:08:37 PM","157"
"Josmo Hardware","","Nanyuki             ","Kenya               ","Nanyuki","0","0722951249     ","","Sr7       ","","","               ","","","","               ","","Rose                ","7/27/2022 11:17:01 AM","7/27/2022 11:17:01 AM","158"
"Wameho Gen store","","Nanyuki             ","Kenya               ","Nanyuki","0","0721670490     ","","Sr7       ","","","               ","","","","               ","","Rose                ","7/27/2022 11:19:51 AM","7/27/2022 11:19:51 AM","159"
"IREGI Hardware","","Nanyuki             ","Kenya               ","Nanyuki","0","0723860578     ","","Sr7       ","","","               ","","","","               ","","Rose                ","7/27/2022 11:27:28 AM","7/27/2022 11:27:28 AM","160"
"Railway Hardware","","Nanyuki             ","Kenya               ","Nanyuki","0","               ","","Sr7       ","","","               ","","","","               ","","Rose                ","7/27/2022 11:39:48 AM","7/27/2022 11:39:48 AM","161"
"Wa Euny Hardware","","Nanyuki             ","Kenya               ","Nanyuki","0","0723605572     ","","Sr7       ","","","               ","","","","               ","","Rose                ","7/27/2022 11:43:49 AM","7/27/2022 11:43:49 AM","162"
"Ros Hardware","","Nanyuki             ","Kenya               ","Nanyuki","0","0724792354     ","","Sr7       ","","","               ","","","","               ","","Rose                ","7/27/2022 11:48:37 AM","7/27/2022 11:48:37 AM","163"
"Unity Hardware","","Nanyuki             ","Kenya               ","Nanyuki","0","0721638815     ","","Sr7       ","","","               ","","","","               ","","Rose                ","7/27/2022 11:50:45 AM","7/27/2022 11:50:45 AM","164"
"J.G Hardware","","Nanyuki             ","Kenya               ","Nanyuki","0","0737807246     ","","Sr7       ","","","               ","","","","               ","","Rose                ","7/27/2022 12:05:33 PM","7/27/2022 12:05:33 PM","165"
"Lito Auto Hardware","","Nanyuki             ","Kenya               ","Nanyuki","0","0721679823     ","","Sr7       ","","","               ","","","","               ","","Rose                ","7/27/2022 12:07:28 PM","7/27/2022 12:07:28 PM","166"
"Wamason Hardware","","Nanyuki             ","Kenya               ","Nanyuki","0","0722265230     ","","Sr7       ","","","               ","","","","               ","","Rose                ","7/27/2022 12:14:12 PM","7/27/2022 12:14:12 PM","167"
"Builders Hardware","","Nanyuki             ","Kenya               ","Nanyuki","0","0721256593     ","","Sr7       ","","","               ","","","","               ","","Rose                ","7/27/2022 12:15:50 PM","7/27/2022 12:15:50 PM","168"
"Hotsun Gen Supplies","","Nanyuki             ","Kenya               ","Nanyuki","0","0722394953     ","","Sr7       ","","","               ","","","","               ","","Rose                ","7/27/2022 12:20:19 PM","7/27/2022 12:20:19 PM","169"
